created_date,party_key,status,action_codes,explanations,outcomes_account_opening_decision,updated_date
2025-02-11 11:08:38.000,000bba40-ac22-42d4-915b-620c22257606,ok,[],[Device id is null or not alpha numeric or not of sufficient length],approve,2025-02-11 11:08:38.000
2025-02-04 21:13:32.000,005b9dde-f538-483e-9b10-caca80d1b36d,ok,[],[Device id is null or not alpha numeric or not of sufficient length],approve,2025-02-04 21:13:32.000
2024-07-18 16:09:26.000,008ded36-6d74-428e-9a88-ebbd27dc20ce,ok,[],[Device id is null or not alpha numeric or not of sufficient length],approve,2024-07-18 16:09:26.000
2024-12-11 04:29:10.000,00f1609b-bfc1-4e04-a2ca-f595d5ba77ef,ok,[],[Device id is null or not alpha numeric or not of sufficient length],approve,2024-12-11 04:29:10.000
2024-10-22 07:30:35.000,0102dee6-510f-4911-9433-0170ef9eb72d,ok,[],[Device id is null or not alpha numeric or not of sufficient length],approve,2024-10-22 07:30:35.000
2024-12-08 06:31:21.000,0111c977-bf73-48df-93dd-be9ca552edbc,ok,[],[Device id is null or not alpha numeric or not of sufficient length],approve,2024-12-08 06:31:21.000
2025-01-08 13:50:42.000,018f2759-9017-4494-b51c-40cac70876ad,ok,[DC08 - Device per App],"[There are 3 applications submitted with the same device id 557725705. The maximum allowed is (2.0) within the last 30 days., Device id is null or not alpha numeric or not of sufficient length]",decline,2025-01-08 13:50:42.000
2024-10-22 05:35:39.000,019edf17-c063-462f-9807-58dac16e9704,ok,[],[Device id is null or not alpha numeric or not of sufficient length],approve,2024-10-22 05:35:39.000
2024-10-25 07:15:29.000,01b33e91-4bd3-41be-bb9e-a91c0b90826d,ok,[],[Device id is null or not alpha numeric or not of sufficient length],approve,2024-10-25 07:15:29.000
2024-11-04 10:20:07.000,01b4e01a-73de-4cd1-95bf-883717691e25,ok,[],[Device id is null or not alpha numeric or not of sufficient length],approve,2024-11-04 10:20:07.000
2024-08-08 08:11:06.000,01f0b208-0e35-4cfb-9c1b-8f5281800238,ok,[],[Device id is null or not alpha numeric or not of sufficient length],approve,2024-08-08 08:11:06.000
2024-08-12 06:57:51.000,026260d2-4c4d-4e7f-b548-5955b508cae6,ok,[DC02 - Velocity Device ID],"[Digital fraud prevention includes preventing velocity attacks (multiple attempts within a period of time by the same applicant), Device id is null or not alpha numeric or not of sufficient length]",decline,2024-08-12 06:57:51.000
2024-06-19 11:36:37.000,026a98c7-ee71-4793-96c0-35c1b49f738e,ok,[],[],approve,2024-06-19 11:36:37.000
2024-08-08 10:57:06.000,02ab4eab-ca8f-418c-afa0-19b3818a13a8,ok,[],[Device id is null or not alpha numeric or not of sufficient length],approve,2024-08-08 10:57:06.000
2024-07-31 11:15:39.000,02e36d55-9076-4cbf-9b81-25a9f611ff8f,ok,[DC02 - Velocity Device ID],"[Digital fraud prevention includes preventing velocity attacks (multiple attempts within a period of time by the same applicant), Device id is null or not alpha numeric or not of sufficient length]",decline,2024-07-31 11:15:39.000
2025-02-03 09:07:21.000,02e90c56-05ef-45f9-9f20-47a97d86adf2,ok,[],[Device id is null or not alpha numeric or not of sufficient length],approve,2025-02-03 09:07:21.000
2024-07-29 16:04:58.000,0339ed6b-919a-464c-a7a1-5c81442dda0e,ok,[],[Device id is null or not alpha numeric or not of sufficient length],approve,2024-07-29 16:04:58.000
2024-11-21 12:53:06.000,033e16d4-a4ce-48d7-bf6a-5afb8bc1d167,ok,[],[Device id is null or not alpha numeric or not of sufficient length],approve,2024-11-21 12:53:06.000
2024-11-14 11:50:58.000,034f254b-6e7f-4683-82e1-7f849428e976,ok,[],[Device id is null or not alpha numeric or not of sufficient length],approve,2024-11-14 11:50:58.000
2024-10-23 05:34:01.000,0359d4c4-63df-46a9-800f-ea8b9c106d74,ok,[],[Device id is null or not alpha numeric or not of sufficient length],approve,2024-10-23 05:34:01.000
2024-08-15 05:23:34.000,03928ec4-affe-4069-bba3-7805ffa2bafb,ok,[],[Device id is null or not alpha numeric or not of sufficient length],approve,2024-08-15 05:23:34.000
2024-08-14 08:44:55.000,03993d9a-a814-4c29-92a6-a3e739dda332,ok,[],[Device id is null or not alpha numeric or not of sufficient length],approve,2024-08-14 08:44:55.000
2024-07-15 12:17:55.000,03ae9cc6-0ebd-48d2-b1be-78a0f4b3d01d,ok,[],[Device id is null or not alpha numeric or not of sufficient length],approve,2024-07-15 12:17:55.000
2024-11-05 11:18:50.000,03c6bfd0-6875-4c3d-ab97-5b0460490c04,ok,[],[Device id is null or not alpha numeric or not of sufficient length],approve,2024-11-05 11:18:50.000
2025-01-24 07:48:14.000,03eaca74-e69a-42cb-9ee5-aa5785c58822,ok,[DC02 - Velocity Device ID],"[Digital fraud prevention includes preventing velocity attacks (multiple attempts within a period of time by the same applicant), Device id is null or not alpha numeric or not of sufficient length]",decline,2025-01-24 07:48:14.000
