metadata_event_type,metadata_event_type_key_name,metadata_event_metadata_version,id,status,type,expires_at,activated_at,ordered_at,effective_from,canceled_at,cancelation_reason,created_at,updated_at,replacement_reason,replacement_for,replacement_by,subscription_key,party_key,card_product_id
INSERT,cardId,1.0.0,8e8bfafc-27fb-4a0e-8a99-c5353ec7b9f9,NEW,VIRTUAL,,,,2024-05-27,,,2024-05-27 06:22:27.844,2024-05-27 06:22:27.844,,,,f4d718ad-16cf-48bf-b553-717d6a238ea3,0001ad26-2460-4f58-9eaa-5b93c53d13ac,e14371c2-0463-4dc4-b9e0-ea805015d31c
UPDATE,cardId,1.0.0,8e8bfafc-27fb-4a0e-8a99-c5353ec7b9f9,ACTIVE,VIRTUAL,2029-05-31,2024-05-27 06:23:10.971,2024-05-27 06:23:10.971,2024-05-27,,,2024-05-27 06:22:27.844,2024-05-27 06:23:10.984,,,,f4d718ad-16cf-48bf-b553-717d6a238ea3,0001ad26-2460-4f58-9eaa-5b93c53d13ac,e14371c2-0463-4dc4-b9e0-ea805015d31c
INSERT,cardId,1.0.0,e894525b-3bbc-482c-93ed-5a377ba222b8,NEW,VIRTUAL,,,,2024-05-31,,,2024-05-31 05:35:59.275,2024-05-31 05:35:59.275,,,,bb601fe2-c0ea-41a6-8eba-dd7729c61ec2,000a9d91-2fa0-4a8b-9af2-76abf97fafea,e14371c2-0463-4dc4-b9e0-ea805015d31c
UPDATE,cardId,1.0.0,e894525b-3bbc-482c-93ed-5a377ba222b8,ACTIVE,VIRTUAL,2029-05-31,2024-05-31 05:37:05.551,2024-05-31 05:37:05.551,2024-05-31,,,2024-05-31 05:35:59.275,2024-05-31 05:37:05.562,,,,bb601fe2-c0ea-41a6-8eba-dd7729c61ec2,000a9d91-2fa0-4a8b-9af2-76abf97fafea,e14371c2-0463-4dc4-b9e0-ea805015d31c
INSERT,cardId,1.0.0,8bd30e69-ad29-4688-8fca-af9915d77b55,NEW,VIRTUAL,,,,2024-05-23,,,2024-05-23 08:12:28.838,2024-05-23 08:12:28.838,,,,4d363aa1-674b-4e94-b018-ddb3e00cc13b,000bc1d8-e72c-4b89-9d1e-318f9ae4aef1,e14371c2-0463-4dc4-b9e0-ea805015d31c
UPDATE,cardId,1.0.0,8bd30e69-ad29-4688-8fca-af9915d77b55,ACTIVE,VIRTUAL,2029-05-31,2024-05-23 08:13:18.232,2024-05-23 08:13:18.232,2024-05-23,,,2024-05-23 08:12:28.838,2024-05-23 08:13:18.242,,,,4d363aa1-674b-4e94-b018-ddb3e00cc13b,000bc1d8-e72c-4b89-9d1e-318f9ae4aef1,e14371c2-0463-4dc4-b9e0-ea805015d31c
INSERT,cardId,1.0.0,bef6528a-304b-4546-a58d-d1c4f003018c,NEW,VIRTUAL,,,,2024-02-22,,,2024-02-22 12:45:12.659,2024-02-22 12:45:12.659,,,,ccede0e5-3774-487a-ac08-83f0016b23a8,000ed668-67f2-4a21-add2-be2f968bfd88,2a8181cb-e44c-4b13-8732-a0503d0a97e2
UPDATE,cardId,1.0.0,bef6528a-304b-4546-a58d-d1c4f003018c,ACTIVE,VIRTUAL,2029-02-28,2024-02-22 12:45:28.115,2024-02-22 12:45:28.115,2024-02-22,,,2024-02-22 12:45:12.659,2024-02-22 12:45:28.133,,,,ccede0e5-3774-487a-ac08-83f0016b23a8,000ed668-67f2-4a21-add2-be2f968bfd88,2a8181cb-e44c-4b13-8732-a0503d0a97e2
UPDATE,cardId,1.0.0,b0625ed4-0e2c-4fc7-94b8-29f30293eb39,ACTIVE,VIRTUAL,2029-05-31,2024-05-23 13:41:23.347,2024-05-23 13:41:23.347,2024-05-23,,,2024-05-23 13:41:16.075,2024-05-23 13:41:23.364,,,,c8e85bd9-1fa4-4ff0-a61e-a56c75a2a574,001481da-49d8-4e87-88d2-062e45de1c0e,e14371c2-0463-4dc4-b9e0-ea805015d31c
INSERT,cardId,1.0.0,b0625ed4-0e2c-4fc7-94b8-29f30293eb39,NEW,VIRTUAL,,,,2024-05-23,,,2024-05-23 13:41:16.075,2024-05-23 13:41:16.075,,,,c8e85bd9-1fa4-4ff0-a61e-a56c75a2a574,001481da-49d8-4e87-88d2-062e45de1c0e,e14371c2-0463-4dc4-b9e0-ea805015d31c
UPDATE,cardId,1.0.0,5c1bacb5-9afb-46ac-9a87-ed860a47ce2a,ACTIVE,VIRTUAL,2029-05-31,2024-05-23 08:37:50.182,2024-05-23 08:37:50.182,2024-05-23,,,2024-05-23 08:36:59.987,2024-05-23 08:37:50.195,,,,b4f587d3-b42f-4eb6-b2fd-6c0f3466f2b1,001f0080-ce79-4e00-9025-c632a7eb921d,e14371c2-0463-4dc4-b9e0-ea805015d31c
INSERT,cardId,1.0.0,5c1bacb5-9afb-46ac-9a87-ed860a47ce2a,NEW,VIRTUAL,,,,2024-05-23,,,2024-05-23 08:36:59.987,2024-05-23 08:36:59.987,,,,b4f587d3-b42f-4eb6-b2fd-6c0f3466f2b1,001f0080-ce79-4e00-9025-c632a7eb921d,e14371c2-0463-4dc4-b9e0-ea805015d31c
INSERT,cardId,1.0.0,aa609216-98a1-49b3-ba4f-cce744145db6,NEW,VIRTUAL,,,,2024-05-23,,,2024-05-23 13:45:46.824,2024-05-23 13:45:46.824,,,,31c84e14-f6dd-4987-9f02-cf024dfec3d9,002fad35-bb49-4fdb-953e-62628015ca6b,e14371c2-0463-4dc4-b9e0-ea805015d31c
UPDATE,cardId,1.0.0,aa609216-98a1-49b3-ba4f-cce744145db6,ACTIVE,VIRTUAL,2029-05-31,2024-05-23 13:45:54.251,2024-05-23 13:45:54.251,2024-05-23,,,2024-05-23 13:45:46.824,2024-05-23 13:45:54.268,,,,31c84e14-f6dd-4987-9f02-cf024dfec3d9,002fad35-bb49-4fdb-953e-62628015ca6b,e14371c2-0463-4dc4-b9e0-ea805015d31c
INSERT,cardId,1.0.0,ea41256d-3a50-4cde-8d28-52155abb0943,NEW,VIRTUAL,,,,2024-05-31,,,2024-05-31 05:23:16.483,2024-05-31 05:23:16.483,,,,59b2c849-0a6d-4ea7-a1dc-84b61b85e1c0,003b2979-f497-4684-8c8b-764a7fd663c6,e14371c2-0463-4dc4-b9e0-ea805015d31c
UPDATE,cardId,1.0.0,ea41256d-3a50-4cde-8d28-52155abb0943,ACTIVE,VIRTUAL,2029-05-31,2024-05-31 05:23:33.241,2024-05-31 05:23:33.241,2024-05-31,,,2024-05-31 05:23:16.483,2024-05-31 05:23:33.255,,,,59b2c849-0a6d-4ea7-a1dc-84b61b85e1c0,003b2979-f497-4684-8c8b-764a7fd663c6,e14371c2-0463-4dc4-b9e0-ea805015d31c
UPDATE,cardId,1.0.0,190f23d6-b1d5-4ee3-a679-c6413327544a,ACTIVE,VIRTUAL,2029-05-31,2024-05-27 05:17:12.932,2024-05-27 05:17:12.932,2024-05-27,,,2024-05-27 05:16:11.022,2024-05-27 05:17:12.945,,,,425393c0-cdf5-4697-a635-b1720d042b17,0040f40b-3fba-4856-8dcc-b3561e2bf906,e14371c2-0463-4dc4-b9e0-ea805015d31c
INSERT,cardId,1.0.0,190f23d6-b1d5-4ee3-a679-c6413327544a,NEW,VIRTUAL,,,,2024-05-27,,,2024-05-27 05:16:11.022,2024-05-27 05:16:11.022,,,,425393c0-cdf5-4697-a635-b1720d042b17,0040f40b-3fba-4856-8dcc-b3561e2bf906,e14371c2-0463-4dc4-b9e0-ea805015d31c
UPDATE,cardId,1.0.0,3e1e54c4-e311-4e46-a153-e7965791ce46,ACTIVE,VIRTUAL,2029-02-28,2024-02-13 13:34:23.202,2024-02-13 13:34:23.202,2024-02-13,,,2024-02-13 13:34:16.798,2024-02-13 13:34:23.230,,,,cbcec3c4-7a99-4dd7-95be-51e21ae3c3e3,0042a796-5342-4e10-8c26-f3cd5cd01995,e14371c2-0463-4dc4-b9e0-ea805015d31c
